Country,GHI,DNI,DHI
Benin,144.5,0.2,143.5
Benin,550.2,606.2,188.7
Benin,228.3,1.2,226.8
Benin,643.5,841.0,110.6
Benin,912.0,875.0,156.3
Benin,289.3,611.5,82.6
Benin,578.5,54.3,522.9
Benin,55.4,-0.3,53.7
Benin,14.0,0.5,13.9
Benin,830.0,679.0,258.1
Benin,962.0,554.0,454.0
Benin,868.0,672.8,245.9
Benin,27.4,19.6,25.9
Benin,960.0,704.2,275.3
Benin,720.5,364.0,418.6
Benin,40.7,10.0,39.4
Benin,546.5,27.4,520.1
Benin,923.0,753.4,201.8
Benin,548.4,482.3,230.3
Benin,395.4,555.8,148.0
Benin,986.0,715.6,257.9
Benin,636.5,582.6,216.7
Benin,633.9,457.4,306.0
Benin,914.0,636.2,374.9
Benin,507.5,474.9,199.9
Benin,618.7,500.4,261.9
Benin,252.3,2.8,249.3
Benin,812.0,425.4,425.8
Benin,767.7,609.5,265.6
Benin,186.8,1.1,185.9
Benin,305.3,27.1,287.5
Benin,1.3,-0.3,1.3
Benin,475.5,368.5,244.0
Benin,783.6,859.0,137.4
Benin,46.9,18.5,44.2
Benin,154.2,2.9,152.3
Benin,974.0,744.5,221.4
Benin,718.9,797.4,156.3
Benin,541.2,18.7,518.6
Benin,644.1,679.1,177.9
Benin,306.0,58.5,270.3
Benin,664.5,619.3,220.7
Benin,980.0,667.7,318.2
Benin,48.8,55.9,42.6
Benin,583.2,588.6,177.1
Benin,39.6,0.4,39.2
Benin,8.1,-0.1,8.2
Benin,1001.0,507.6,497.2
Benin,905.0,874.0,154.0
Benin,701.9,454.1,396.7
Benin,309.0,0.4,306.9
Benin,573.6,539.8,219.9
Benin,806.0,577.9,326.5
Benin,834.0,175.7,648.9
Benin,58.8,60.2,48.0
Benin,279.6,0.8,277.5
Benin,2.5,-0.1,2.7
Benin,339.3,10.6,330.3
Benin,57.1,71.6,47.7
Benin,940.0,672.1,315.3
Benin,741.4,499.4,329.7
Benin,258.1,196.2,187.7
Benin,23.6,0.2,23.4
Benin,256.3,486.3,97.0
Benin,552.4,296.2,358.0
Benin,373.3,324.7,214.7
Benin,464.7,353.2,259.4
Benin,669.6,200.1,495.5
Benin,620.5,172.5,484.7
Benin,452.7,338.0,257.8
Benin,866.0,441.8,463.9
Benin,43.0,63.5,36.6
Benin,318.8,1.0,316.1
Benin,244.0,102.7,200.9
Benin,143.1,10.0,138.5
Benin,387.1,696.8,100.5
Benin,326.1,175.9,224.9
Benin,17.6,-0.3,17.3
Benin,909.0,875.0,167.1
Benin,818.0,394.5,475.4
Benin,23.6,28.0,21.4
Benin,2.1,-0.6,1.8
Benin,739.9,388.8,402.8
Benin,56.6,0.3,55.9
Benin,205.4,446.3,88.4
Benin,908.0,732.2,229.2
Benin,542.1,347.3,307.6
Benin,1072.0,578.9,488.1
Benin,929.0,593.7,374.3
Benin,24.3,12.6,23.2
Benin,89.1,-0.3,88.3
Benin,310.5,551.4,104.7
Benin,593.0,478.8,258.2
Benin,258.8,219.8,179.6
Benin,896.0,667.7,278.7
Benin,417.4,2.1,411.1
Benin,853.0,740.9,256.0
Benin,779.2,689.0,226.5
Benin,11.4,-0.6,9.7
Benin,484.7,722.5,106.4
Benin,497.8,57.4,448.9
Benin,271.2,82.5,216.5
Benin,348.2,431.7,185.3
Benin,710.0,568.5,265.6
Benin,153.6,4.2,151.3
Benin,274.0,0.6,271.5
Benin,27.9,-0.2,27.6
Benin,748.6,733.7,204.4
Benin,44.7,0.1,44.1
Benin,511.1,102.8,432.8
Benin,646.2,25.6,617.2
Benin,808.0,693.7,238.6
Benin,103.6,228.9,64.3
Benin,772.8,768.8,202.4
Benin,162.6,455.1,63.6
Benin,573.9,607.4,168.4
Benin,1.2,-0.4,0.7
Benin,785.7,597.1,279.1
Benin,657.7,501.7,334.2
Benin,159.6,1.5,157.6
Benin,750.9,469.2,343.8
Benin,906.0,675.7,272.8
Benin,172.1,412.0,65.9
Benin,752.4,572.4,279.1
Benin,531.1,515.0,216.0
Benin,605.1,589.7,197.9
Benin,217.3,404.3,104.7
Benin,836.0,871.0,136.0
Benin,201.2,223.2,135.2
Benin,513.3,359.7,281.5
Benin,708.2,798.3,162.6
Benin,308.0,13.7,291.9
Benin,86.7,123.5,68.4
Benin,369.1,412.4,169.4
Benin,253.0,45.2,229.4
Benin,611.0,311.0,352.1
Benin,739.7,669.9,242.0
Benin,624.1,509.8,266.7
Benin,782.7,774.3,184.1
Benin,174.0,186.1,117.9
Benin,1.5,-0.9,-1.4
Benin,145.8,349.1,74.4
Benin,312.0,312.2,176.6
Benin,509.2,568.7,171.4
Benin,360.1,125.5,295.0
Benin,175.7,0.3,172.9
Benin,760.7,364.6,475.9
Benin,4.9,-0.1,5.0
Benin,860.0,808.0,183.4
Benin,766.2,779.6,158.8
Benin,640.1,186.6,471.0
Benin,470.3,522.0,176.6
Benin,15.7,0.0,15.6
Benin,519.5,488.0,246.9
Benin,660.0,426.7,351.0
Benin,961.0,608.7,346.0
Benin,725.5,587.3,270.3
Benin,829.0,651.4,272.1
Benin,44.0,0.4,42.9
Benin,217.0,322.8,113.3
Benin,873.0,565.2,325.8
Benin,424.2,444.2,198.5
Benin,460.2,4.4,454.1
Benin,95.6,9.4,90.4
Benin,673.6,392.6,364.6
Benin,67.4,2.0,66.3
Benin,669.7,159.1,517.2
Benin,802.0,702.4,223.0
Benin,61.7,66.5,54.7
Benin,33.3,20.2,32.0
Benin,689.5,242.4,469.8
Benin,602.8,575.7,226.1
Benin,538.2,625.2,165.8
Benin,700.7,802.0,142.7
Benin,910.0,783.5,273.1
Benin,97.3,67.9,83.4
Benin,345.7,131.5,235.9
Benin,309.5,385.5,154.2
Benin,67.6,16.9,63.7
Benin,744.6,652.3,255.3
Benin,935.0,416.7,556.9
Benin,459.4,358.1,259.6
Benin,477.4,291.0,265.8
Benin,521.0,6.7,510.5
Benin,688.3,618.2,256.8
Benin,512.1,67.6,446.7
Benin,905.0,856.0,180.5
Benin,451.9,565.7,145.9
Benin,160.7,-0.4,159.8
Benin,982.0,696.2,269.3
Benin,95.6,17.4,89.3
Benin,700.3,740.8,177.3
Benin,741.4,315.6,485.4
Benin,528.5,407.9,335.5
Benin,973.0,613.7,364.6
Benin,286.2,157.7,201.4
Benin,479.8,505.1,196.7
Benin,611.6,536.1,254.1
Benin,212.4,0.7,211.9
Benin,794.8,531.3,390.4
Benin,882.0,499.0,427.6
Benin,58.2,36.0,50.8
Benin,660.2,177.3,478.4
Benin,897.0,833.0,126.6
Benin,214.3,9.6,212.2
Benin,559.4,605.3,194.6
Benin,772.3,263.7,540.7
Benin,412.8,92.0,349.3
Benin,8.4,-0.5,8.1
Benin,23.6,1.0,23.0
Benin,615.6,378.5,339.0
Benin,32.8,0.0,32.6
Benin,580.6,21.0,556.0
Benin,924.0,645.4,310.5
Benin,170.1,128.7,138.5
Benin,671.6,534.5,282.2
Benin,2.6,-0.2,2.5
Benin,341.4,1.8,336.2
Benin,13.7,-0.9,11.9
Benin,736.8,529.3,297.1
Benin,411.6,242.4,277.8
Benin,80.7,97.2,61.3
Benin,424.4,0.8,407.6
Benin,262.4,4.6,257.5
Benin,389.3,9.5,381.1
Benin,86.0,115.9,60.5
Benin,38.3,7.4,35.3
Benin,687.8,336.3,401.4
Benin,368.7,223.7,222.5
Benin,955.0,695.8,254.1
Benin,497.1,370.2,296.3
Benin,149.8,124.6,114.4
Benin,454.2,684.2,109.9
Benin,71.0,0.0,70.4
Benin,16.0,-0.2,15.9
Benin,244.4,1.0,242.6
Benin,530.1,277.8,325.9
Benin,0.3,-0.2,0.2
Benin,720.0,255.7,459.7
Benin,535.7,583.2,274.6
Benin,842.0,727.9,220.7
Benin,8.1,-1.0,8.2
Benin,395.0,19.6,377.3
Benin,259.9,6.5,254.2
Benin,8.8,-0.4,8.7
Benin,303.7,6.9,296.0
Benin,360.9,0.9,357.7
Benin,5.1,-0.2,5.1
Benin,355.4,441.3,144.2
Benin,85.8,37.9,78.1
Benin,817.0,660.2,265.2
Benin,1.7,-0.1,1.4
Benin,813.0,645.2,275.6
Benin,592.9,151.3,475.3
Benin,838.0,231.8,595.0
Benin,737.5,712.5,183.4
Benin,912.0,766.4,294.4
Benin,95.3,9.1,91.2
Benin,380.6,2.2,366.8
Benin,473.3,583.4,177.8
Benin,222.7,209.3,150.5
Benin,881.0,552.3,340.4
Benin,51.9,-0.1,51.4
Benin,6.1,-0.5,5.9
Benin,4.8,-0.5,4.4
Benin,689.7,788.0,140.3
Benin,508.3,600.7,161.0
Benin,217.0,485.3,83.5
Benin,834.0,657.4,259.7
Benin,866.0,819.0,170.4
Benin,24.6,0.4,21.6
Benin,299.7,445.0,121.3
Benin,406.1,5.1,399.1
Benin,948.0,633.3,330.6
Benin,908.0,732.3,211.8
Benin,85.7,282.5,41.5
Benin,376.6,436.0,164.6
Benin,521.2,453.0,236.6
Benin,933.0,478.6,454.8
Benin,77.3,69.8,64.3
Benin,500.9,701.8,134.7
Benin,263.3,0.7,261.9
Benin,635.5,759.5,143.6
Benin,987.0,790.6,238.3
Benin,828.0,358.8,458.0
Benin,962.0,597.6,358.6
Benin,502.3,125.1,413.0
Benin,37.9,0.2,38.0
Benin,990.0,631.8,370.4
Benin,778.8,531.0,289.2
Benin,104.0,118.0,78.6
Benin,889.0,487.7,392.7
Benin,411.4,413.7,203.9
Benin,255.4,66.6,222.0
Benin,348.3,237.9,230.9
Benin,12.0,-0.3,12.0
Benin,9.8,-0.1,9.7
Benin,7.2,-0.3,7.3
Benin,332.3,1.5,329.4
Benin,300.3,0.7,296.7
Benin,656.5,569.9,262.7
Benin,725.2,559.2,274.2
Benin,902.0,811.0,176.4
Benin,837.0,669.2,286.5
Benin,130.0,148.3,88.6
Benin,240.2,461.6,89.3
Benin,720.0,96.2,624.5
Benin,663.6,551.4,261.9
Benin,484.6,500.6,191.4
Benin,977.0,759.7,243.1
Benin,754.9,812.0,157.1
Benin,787.7,364.2,433.5
Benin,959.0,725.1,227.6
Benin,234.1,454.4,96.3
Benin,756.6,555.2,307.6
Benin,564.0,421.3,314.1
Benin,746.0,469.6,334.1
Benin,798.5,731.7,203.8
Benin,720.7,120.5,594.4
Benin,347.0,68.9,306.3
Benin,1021.0,861.0,213.1
Benin,143.2,106.6,110.7
Benin,948.0,815.3,243.5
Benin,0.1,-0.9,-1.2
Benin,872.0,284.7,582.4
Benin,962.0,754.0,213.5
Benin,530.9,549.2,188.5
Benin,646.3,861.0,106.0
Benin,389.0,493.3,157.7
Benin,178.3,0.3,176.2
Benin,573.6,160.7,414.0
Benin,227.4,215.2,147.3
Benin,930.0,661.5,285.7
Benin,1036.0,685.9,362.8
Benin,28.5,-0.1,28.3
Benin,829.0,698.1,265.4
Benin,147.0,0.6,146.0
Benin,627.1,63.6,558.7
Benin,769.2,276.2,500.4
Benin,254.1,431.4,127.2
Benin,788.8,565.7,296.5
Benin,2.0,-1.3,-1.8
Benin,63.4,4.8,59.7
Benin,607.2,219.3,393.9
Benin,862.0,765.4,233.5
Benin,293.6,373.7,148.9
Benin,110.8,0.4,108.0
Benin,754.5,181.2,589.3
Benin,653.9,409.8,350.2
Benin,755.5,420.6,376.3
Benin,56.8,0.6,56.2
Benin,16.5,0.0,16.4
Benin,310.5,1.0,307.8
Benin,897.0,843.0,164.7
Benin,846.0,738.6,202.3
Benin,301.1,242.8,185.2
Benin,898.0,794.0,185.1
Benin,746.2,619.3,228.5
Benin,673.5,397.3,370.7
Benin,860.0,803.1,200.2
Benin,821.0,665.7,273.3
Benin,27.5,-0.1,28.5
Benin,257.3,111.8,215.2
Benin,681.4,540.3,259.9
Benin,538.7,266.1,369.8
Benin,526.6,5.9,515.1
Benin,260.8,221.4,170.6
Benin,803.0,814.3,158.8
Benin,259.7,3.7,256.1
Benin,76.9,23.8,70.4
Benin,699.9,266.8,427.5
Benin,508.6,308.2,304.9
Benin,927.0,824.2,158.7
Benin,329.5,131.7,245.2
Benin,702.0,736.6,141.5
Benin,296.0,2.1,292.4
Benin,888.0,345.8,544.0
Benin,720.0,58.3,656.1
Benin,896.0,783.9,182.6
Benin,553.0,509.5,224.8
Benin,725.5,515.5,305.7
Benin,199.7,256.1,114.9
Benin,821.0,326.6,521.3
Benin,522.0,440.3,241.2
Benin,460.5,639.3,139.7
Benin,42.8,12.1,38.5
Benin,35.8,82.4,27.2
Benin,469.2,559.1,158.8
Benin,349.7,101.0,275.6
Benin,724.9,679.9,209.1
Benin,114.0,98.5,97.5
Benin,357.6,3.2,353.6
Benin,280.9,429.6,144.0
Benin,3.0,-0.4,2.9
Benin,880.0,246.3,630.6
Benin,872.0,648.3,261.3
Benin,160.4,210.6,109.7
Benin,524.9,126.9,424.0
Benin,302.7,0.2,300.8
Benin,194.3,498.7,76.6
Benin,147.1,96.2,119.0
Benin,612.9,151.1,489.5
Benin,952.0,796.2,187.8
Benin,133.9,19.5,126.4
Benin,115.0,21.5,107.5
Benin,185.9,297.6,100.5
Benin,64.2,0.8,63.4
Benin,109.9,141.0,84.4
Benin,865.0,537.1,339.6
Benin,744.3,421.4,399.6
Benin,129.4,41.9,116.9
Benin,521.6,424.2,255.9
Benin,3.7,-0.5,1.3
Benin,720.9,394.5,367.5
Benin,342.0,237.9,235.2
Benin,731.7,649.3,224.9
Benin,641.7,505.2,279.5
Benin,598.4,703.1,171.8
Benin,868.0,261.4,604.9
Benin,763.2,801.0,172.3
Benin,550.0,568.8,200.3
Benin,966.0,760.4,214.8
Benin,791.0,860.0,131.6
Benin,216.4,32.1,195.7
Benin,758.5,793.9,171.0
Benin,856.0,815.0,173.4
Benin,120.1,90.5,96.1
Benin,590.8,165.7,452.0
Benin,801.0,235.2,562.8
Benin,775.1,740.0,172.3
Benin,500.3,202.6,345.0
Benin,440.5,365.3,246.0
Benin,788.9,367.9,439.2
Benin,413.1,65.3,366.0
Benin,473.3,739.8,90.0
Benin,944.0,696.9,255.2
Benin,453.5,343.6,237.3
Benin,497.4,99.9,395.2
Benin,19.6,1.5,18.4
Benin,322.9,317.5,189.8
Benin,229.2,342.7,119.2
Benin,910.0,654.4,271.2
Benin,554.4,339.2,320.0
Benin,745.6,811.0,141.4
Benin,62.3,0.0,62.0
Benin,515.4,584.5,182.4
Benin,912.0,335.2,570.7
Benin,921.0,709.6,238.3
Benin,226.1,435.7,100.9
Benin,831.0,847.0,151.5
Benin,342.9,423.6,155.5
Benin,260.2,2.1,257.8
Benin,280.0,313.8,154.6
Benin,939.0,595.4,346.3
Benin,820.0,721.3,231.8
Benin,41.9,28.4,37.7
Benin,265.0,318.1,145.5
Benin,9.1,-0.5,8.9
Benin,1.3,-0.3,1.4
Benin,913.0,781.6,213.2
Benin,684.4,235.0,472.9
Benin,839.0,387.9,470.4
Benin,701.0,630.4,210.7
Benin,346.0,238.8,230.1
Benin,306.8,3.9,302.9
Benin,873.0,820.0,164.8
Benin,910.0,542.7,405.7
Benin,819.0,725.4,213.3
Benin,117.8,49.1,105.2
Benin,0.6,-0.8,0.3
Benin,434.6,430.7,198.7
Benin,217.1,90.3,180.9
Benin,106.3,15.6,101.7
Benin,521.1,692.3,144.2
Benin,509.3,355.8,278.1
Benin,29.8,0.0,29.5
Benin,514.7,315.9,306.9
Benin,783.3,762.4,147.8
Benin,303.3,456.8,124.7
Benin,84.0,25.7,78.6
Benin,90.4,0.2,90.0
Benin,611.6,156.1,487.2
Benin,446.1,37.3,410.1
Benin,69.9,27.6,63.2
Benin,323.7,12.7,313.9
Benin,12.6,-0.2,11.7
Benin,910.0,765.2,209.9
Benin,746.3,758.8,181.5
Benin,233.4,316.7,126.4
Benin,896.0,246.5,643.7
Benin,50.2,0.2,50.1
Benin,723.8,793.6,143.8
Benin,312.5,190.4,225.7
Benin,740.8,413.6,387.1
Benin,311.9,219.9,210.5
Benin,721.8,606.1,249.1
Benin,195.4,400.7,91.8
Benin,953.0,831.0,241.3
Benin,798.2,389.0,445.5
Benin,952.0,626.7,321.8
Benin,867.0,684.1,257.0
Benin,832.0,356.9,482.1
Benin,854.0,463.6,398.6
Benin,220.2,1.4,218.3
Benin,47.1,-0.5,46.5
Benin,329.0,411.5,157.8
Benin,35.4,23.0,31.7
Benin,64.5,0.3,64.2
Benin,46.4,86.6,34.4
Benin,834.0,858.0,147.2
Benin,539.3,601.3,186.0
Benin,413.8,707.0,98.7
Benin,700.2,552.6,292.0
Benin,934.0,591.0,340.6
Benin,229.8,174.9,160.3
Benin,309.5,395.5,145.5
Benin,65.4,-0.2,65.0
Benin,204.3,2.6,201.8
Benin,357.0,46.3,314.4
Benin,894.0,871.0,152.7
Benin,876.0,738.7,224.0
Benin,817.0,232.1,591.0
Benin,781.9,699.4,246.2
Benin,781.8,257.2,560.1
Benin,363.5,9.1,352.5
Benin,383.8,253.2,241.0
Benin,993.0,428.8,572.3
Benin,853.0,380.4,488.2
Benin,371.6,89.1,308.0
Benin,33.8,-0.2,33.6
Benin,363.2,18.3,349.2
Benin,24.7,0.0,24.3
Benin,676.2,532.3,291.1
Benin,558.5,18.6,537.6
Benin,28.4,-0.3,26.9
Benin,607.5,641.8,180.8
Benin,165.4,0.2,163.8
Benin,201.1,1.7,199.5
Benin,527.7,13.1,507.7
Benin,4.5,-0.3,4.4
Benin,538.8,582.9,199.4
Benin,750.5,244.4,507.4
Benin,200.5,0.4,200.6
Benin,27.1,-0.3,27.1
Benin,667.0,61.7,598.4
Benin,912.0,621.3,311.6
Benin,894.0,682.5,256.9
Benin,856.0,616.5,293.6
Benin,90.0,13.6,86.4
Benin,46.7,25.6,43.1
Benin,263.8,7.2,257.9
Benin,899.0,878.0,153.8
Benin,834.0,376.6,455.8
Benin,599.8,704.2,165.5
Benin,1137.0,670.5,454.0
Benin,776.4,418.8,361.9
Benin,29.1,0.2,27.3
Benin,1058.0,727.3,356.3
Benin,381.6,421.7,185.3
Benin,652.4,67.2,578.6
Benin,84.0,0.2,83.6
Benin,229.7,0.9,228.7
Benin,186.9,81.3,149.3
Benin,852.0,711.9,204.3
Benin,854.0,660.0,250.3
Benin,528.2,261.1,365.6
Benin,735.4,377.0,434.7
Benin,323.9,517.6,118.7
Benin,517.0,43.0,468.5
Benin,180.5,155.6,132.8
Benin,791.2,566.8,306.8
Benin,395.1,5.3,388.5
Benin,907.0,878.0,117.3
Benin,844.0,850.0,143.5
Benin,795.9,293.7,491.3
Benin,318.9,386.6,155.1
Benin,720.7,458.0,363.6
Benin,85.4,61.2,72.2
Benin,948.0,615.3,324.9
Benin,638.2,181.8,498.2
Benin,883.0,250.0,654.7
Benin,497.8,485.7,210.7
Benin,502.4,332.9,293.4
Benin,621.3,514.4,250.7
Benin,874.0,493.1,404.1
Benin,624.2,240.1,418.8
Benin,230.6,12.4,223.9
Benin,590.4,668.3,174.6
Benin,252.3,52.7,225.7
Benin,798.0,242.7,563.8
Benin,90.7,0.4,90.1
Benin,276.3,271.0,161.1
Benin,143.2,0.5,142.2
Benin,779.3,632.2,246.0
Benin,881.0,394.0,492.5
Benin,485.7,272.1,278.9
Benin,962.0,634.9,338.7
Benin,291.2,0.4,286.3
Benin,851.0,763.7,223.5
Benin,19.7,-0.1,19.6
Benin,959.0,679.3,304.1
Benin,796.3,766.0,226.5
Benin,107.8,328.1,53.5
Benin,498.0,585.6,163.0
Benin,864.0,664.6,297.4
Benin,505.2,483.3,222.4
Benin,784.7,231.1,578.5
Benin,13.0,5.8,11.3
Benin,18.5,0.0,18.5
Benin,186.8,2.4,184.8
Benin,154.1,280.9,88.8
Benin,898.0,821.0,184.2
Benin,797.9,475.7,394.2
Benin,639.3,697.2,154.1
Benin,7.8,-1.9,8.1
Benin,207.9,23.8,191.7
Benin,77.2,83.8,65.2
Benin,777.7,669.1,230.9
Benin,908.0,625.8,297.9
Benin,738.6,466.9,368.2
Benin,814.0,834.0,172.8
Benin,912.0,544.5,363.0
Benin,953.0,505.0,440.6
Benin,815.0,770.0,200.8
Benin,2.7,-0.4,2.7
Benin,699.6,619.3,260.6
Benin,334.8,273.7,212.0
Benin,896.0,445.2,445.0
Benin,99.4,38.6,90.0
Benin,707.7,610.0,228.7
Benin,8.9,-0.5,8.4
Benin,974.0,771.8,202.9
Benin,632.2,596.2,204.5
Benin,672.9,599.4,256.7
Benin,77.5,0.2,75.7
Benin,274.6,270.7,156.8
Benin,971.0,872.0,145.0
Benin,951.0,807.4,240.5
Benin,272.0,161.7,184.2
Benin,515.0,673.6,141.4
Benin,741.0,174.4,565.5
Benin,1198.0,751.9,423.9
Benin,75.1,22.7,68.2
Benin,891.0,593.6,309.7
Benin,739.1,570.6,291.6
Benin,520.5,275.7,335.4
Benin,856.0,535.6,372.4
Benin,926.0,691.8,296.5
Benin,552.4,552.6,197.1
Benin,692.2,505.9,317.7
Benin,542.2,371.4,300.6
Benin,284.4,562.8,95.3
Benin,228.5,403.0,108.4
Benin,905.0,455.6,430.1
Benin,68.8,139.0,52.6
Benin,99.4,0.3,98.7
Benin,611.9,659.0,182.8
Benin,954.0,694.9,254.0
Benin,736.7,826.0,130.9
Benin,890.0,765.3,243.8
Benin,36.0,48.0,31.6
Benin,718.4,544.4,294.7
Benin,843.0,601.8,305.5
Benin,591.6,788.4,131.9
Benin,67.5,-0.3,66.7
Benin,735.2,431.5,379.2
Benin,17.3,-0.4,17.1
Benin,827.0,842.0,158.9
Benin,435.9,531.6,177.9
Benin,446.3,652.7,123.1
Benin,782.9,462.2,389.3
Benin,112.4,187.2,72.2
Benin,500.4,390.0,240.1
Benin,402.8,560.4,128.9
Benin,936.0,740.2,244.2
Benin,701.7,683.8,202.8
Benin,448.4,340.8,264.1
Benin,6.4,-0.2,6.3
Benin,7.5,0.9,5.4
Benin,261.4,452.3,105.0
Benin,1231.0,786.8,433.2
Benin,767.2,562.3,305.0
Benin,82.0,0.3,80.9
Benin,309.6,1.1,305.6
Benin,873.0,455.2,446.9
Benin,625.5,616.2,196.2
Benin,650.4,357.3,401.1
Benin,208.2,11.6,202.0
Benin,663.3,619.2,221.5
Benin,773.4,265.7,541.8
Benin,92.4,308.6,42.8
Benin,306.9,1.8,302.7
Benin,637.3,617.7,221.3
Benin,697.8,238.8,492.8
Benin,243.7,0.5,241.7
